msisdn,client_type,full_name,inn,account_number,city,country,address,birth_date,gender,document_type,document_name,document_number,document_series,issued_by,issued_date
79010607459,1,Павлова Фаина Макаровна,656430130555,4313146184457,г. Оса,Russia,"г. Новочеркасск, ул. Солнечная, д. 78, 542871",1999-08-02,2,1,passport,157637,4521,"Отд. гор. д. Вилюйск, ул. Кольцевая",2011-02-05
79558742167,1,Чернов Ладимир Феодосьевич,318808029117,5999575086553,к. Пятигорск,Russia,"г. Петропавловск-Камчатский, ул. Кольцова, д. 36, 140311",2003-01-23,1,1,passport,413074,1623,"Отд. гор. клх Каменск-Шахтинский, ул. Петровская",2016-04-06
79121280582,1,Новикова Акулина Ниловна,131836975294,5115831343971,г. Кулу,Russia,"г. Минеральные Воды, ул. Р.Люксембург, д. 76, 554022",1995-10-31,2,1,passport,237581,1053,"Отд. гор. г. Анива, ул. Карла Либкнехта",2015-09-14
79733138508,1,Сазонов Андроник Жанович,916391591873,3566107752043,ст. Петрозаводск,Russia,"клх Костомукша, ул. Запорожская, д. 81, 231306",1990-07-19,1,1,passport,160409,6480,"Отд. гор. п. Шатой, ул. Крайняя",2011-03-30
79616443933,1,Шарапов Карп Харлампович,443532598221,2153845690216,к. Бронницы,Russia,"с. Подольск, ул. Дружба, д. 55, 727658",1996-12-26,1,1,passport,456135,7695,"Отд. гор. д. Слюдянка, ул. Отрадная",2018-04-10
79899801144,1,Ширяев Ким Гурьевич,479093381177,9287838284785,г. Кедровый,Russia,"к. Сладково, ул. Марта 8, д. 96, 878632",1993-03-02,1,1,passport,658748,6875,"Отд. гор. к. Андреаполь, ул. Санаторная",2016-03-01
79099913638,1,Суханов Авксентий Елизарович,896745609726,5662252596449,г. Элиста,Cameroon,"д. Воскресенск, ул. Курганная, д. 82, 261812",1993-04-20,1,1,passport,304172,1250,"Отд. гор. п. Макушино, ул. Подстанция",2019-01-25
79392263750,1,Котова Кира Львовна,707717405121,6886077898771,п. Невьянск,Russia,"к. Котельнич, ул. Пожарского, д. 72, 500294",2000-07-17,2,1,passport,952460,8913,"Отд. гор. ст. Когалым, ул. Тургенева",2014-09-17
79941149700,1,Коновалова Зоя Дмитриевна,844626614712,1666287397572,ст. Домбай,Russia,"ст. Тайшет, ул. Приозерная, д. 83, 774642",1995-01-17,2,1,passport,253446,3417,"Отд. гор. г. Старый Оскол, ул. Тополиная",2009-08-16
79667558186,1,Одинцов Никодим Арсеньевич,780346866792,7500311866747,с. Нарьян-Мар,Russia,"ст. Чермоз, ул. Техническая, д. 82, 814574",2001-04-02,1,1,passport,514310,4833,"Отд. гор. п. Нарткала, ул. Октября",2015-04-21
79727833189,1,Куликова Алевтина Юрьевна,210802183308,1843003884440,с. Хасан,Russia,"с. Кырен, ул. Астраханская, д. 40, 324163",2001-11-13,2,1,passport,905318,3977,"Отд. гор. ст. Нягань, ул. Марта 8",2018-01-27
79412826845,1,Панова Таисия Владимировна,440588751024,2393533387945,п. Юрюзань,Russia,"к. Раменское, ул. Физкультурная, д. 05, 896976",1995-09-18,2,1,passport,813277,6252,"Отд. гор. клх Южно-Сахалинск, ул. Ягодная",2017-09-28
79314276121,1,Самсонов Аристарх Изотович,992442420313,8065675141452,д. Шелагонцы,Russia,"г. Киренск, ул. Бабушкина, д. 20, 676216",1999-08-22,1,1,passport,701238,7526,"Отд. гор. п. Любань, ул. Менделеева",2016-01-15
79871094922,1,Хохлова Глафира Васильевна,651152508416,8933708669393,ст. Троицко-Печорск,Russia,"с. Баргузин, ул. Калужская, д. 30, 840575",1997-03-21,2,1,passport,937076,4492,"Отд. гор. г. Ершов, ул. Владимирская",2012-10-08
79867552876,1,Бобылев Георгий Гурьевич,564158833843,7668009258423,с. Переславль-Залесский,Russia,"ст. Надым, ул. Семашко, д. 72, 450849",1989-08-13,1,1,passport,401212,8949,"Отд. гор. д. Торжок, ул. Интернациональная",2009-07-03
79347793907,1,Игнатьева Октябрина Яковлевна,868192614449,1729644210648,ст. Баксан,Russia,"с. Дмитров, ул. Курортная, д. 95, 979632",2004-04-11,2,1,passport,284451,1087,"Отд. гор. г. Тимашевск, ул. Черняховского",2017-01-04
79194907152,1,Потапова Нинель Олеговна,956705498273,4781344705311,"д. Москва, МГУ",Russia,"клх Жуковский, ул. Мусы Джалиля, д. 86, 499362",1997-02-13,2,1,passport,150823,3820,"Отд. гор. клх Эльтон, ул. Отрадная",2012-12-23
79908744828,1,Шарапова Иванна Владимировна,918658375897,5717259700917,п. Соликамск,Russia,"д. Оренбург, ул. Омская, д. 36, 576759",1997-11-14,2,1,passport,675919,3934,"Отд. гор. к. Алдан, ул. Алтайская",2016-05-18
79520201993,1,Мухин Остромир Вилорович,361135809493,5716177061005,с. Котлас,Russia,"ст. Красноуфимск, ул. Леваневского, д. 86, 943119",1991-03-03,1,1,passport,258779,4876,"Отд. гор. с. Абинск, ул. Энтузиастов",2017-12-11
79664861977,1,Давыдов Артем Вилорович,700867576146,9369794980389,с. Ульяновск,Russia,"г. Озеры, ул. Победы, д. 34, 648953",1989-07-19,1,1,passport,501910,9570,"Отд. гор. п. Лысьва, ул. Городская",2012-01-28
79649350650,1,Кириллова Регина Макаровна,539337702124,3607178161610,д. Ейск,Russia,"г. Урус-Мартан, ул. Западная, д. 86, 151126",1990-03-14,2,1,passport,301904,9268,"Отд. гор. д. Невьянск, ул. Ленинская",2012-04-13
79083189617,1,Денисова Дарья Геннадиевна,163452979508,9352159158327,г. Славгород,Russia,"клх Южно-Сахалинск, ул. Труда, д. 27, 268077",1994-11-30,2,1,passport,877908,5772,"Отд. гор. с. Торжок, ул. Папанина",2011-09-22
