msisdn,client_type,full_name,inn,account_number,city,country,address,birth_date,gender,document_type,document_name,document_number,document_series,issued_by,issued_date
79461353926,1,Баранов Глеб Евсеевич,800784314676,2364499674260,ст. Лабинск,Russia,"д. Сузун, ул. Астраханская, д. 64, 523352",1992-04-26,1,105,identity_card_refugees,667685,,"Отд. гор. г. Ялуторовск, ул. Амурская",2011-04-09
79826228056,1,Зимин Мина Владиславович,276798435947,4742189536078,клх Алапаевск,Russia,"к. Белокуриха, ул. Урицкого, д. 45, 598123",1996-05-16,1,1,passport,851288,6055,"Отд. гор. ст. Белый Яр (Томск.), ул. Журавлева",2018-01-17
79495592333,1,Степанова Александра Валентиновна,327273300619,8152744015037,д. Шилка,Russia,"клх Лянтор, ул. Колхозная, д. 07, 690913",2004-12-19,2,1,passport,780168,9612,"Отд. гор. д. Рыльск, ул. Николаева",2013-07-05
79727289566,1,Фролов Евсей Трифонович,784840688025,7820292360480,ст. Шерегеш,Russia,"клх Кашира, ул. Тихая, д. 84, 916961",1990-03-26,1,1,passport,514506,9640,"Отд. гор. п. Гаврилов-Ям, ул. Ленская",2014-05-28
79606653720,1,Шубин Галактион Чеславович,406300746568,7586529224575,ст. Яшалта,Russia,"ст. Норильск, ул. Чернышевского, д. 49, 003971",1993-07-04,1,1,passport,970417,5321,"Отд. гор. к. Сеймчан, ул. Ручейная",2010-12-23
79668023867,1,Галкин Валерьян Валерианович,510379030179,5856464677673,г. Качканар,Russia,"ст. Ржев, ул. Советов, д. 61, 307627",1996-03-25,1,1,passport,391093,7313,"Отд. гор. д. Беломорск, ул. Фурманова",2014-01-07
79179738890,1,Соболева Лидия Федоровна,615799264718,5664266917167,с. Гатчина,Russia,"с. Тихорецк, ул. Снежная, д. 80, 886293",2004-07-20,2,1,passport,544766,3898,"Отд. гор. с. Муром, ул. Короткая",2012-02-23
79046543575,1,Семенов Спиридон Ермолаевич,942122743716,5287878113361,д. Усть-Ишим,Russia,"п. Вологда, ул. Смирнова, д. 32, 895932",1999-12-27,1,1,passport,604179,1535,"Отд. гор. д. Серафимович, ул. Ангарская",2017-02-21
79046947872,1,Кулагина Наина Архиповна,355982174419,4542371042843,к. Нефтегорск (Самар.),Russia,"г. Кудымкар, ул. Королева, д. 69, 014913",1995-10-04,2,1,passport,400193,1524,"Отд. гор. ст. Сызрань, ул. Ломоносова",2013-01-21
79829712451,1,Афанасьева Валерия Вениаминовна,371614425786,2608192444843,д. Ступино,Russia,"п. Карачаевск, ул. Заливная, д. 50, 265181",1993-05-13,2,102,ussr_passport,467411,,"Отд. гор. к. Лагань, ул. Крупской",2017-11-06
